stname,cluster_id,utc_time,utc_timestamp,utc_time_s,utc_timestamp_s,time_diff
HSH ,1,2008-08-01T21:45:20.100000Z,1217627120.1,2008-08-01T21:45:31.000000Z,1217627131.0,10.900000095367432
HSH ,1,2008-08-01T22:22:53.700000Z,1217629373.7,2008-08-01T22:23:02.400000Z,1217629382.4,8.700000047683716
HSH ,1,2008-08-01T22:24:43.900000Z,1217629483.9,2008-08-01T22:24:54.800000Z,1217629494.8,10.899999856948853
HSH ,1,2008-08-01T22:30:48.300000Z,1217629848.3,2008-08-01T22:31:01.300000Z,1217629861.3,13.0
HSH ,1,2008-08-01T23:24:51.800000Z,1217633091.8,2008-08-01T23:25:02.600000Z,1217633102.6,10.799999952316284
HSH ,1,2008-08-02T00:13:09.400000Z,1217635989.4,2008-08-02T00:13:21.600000Z,1217636001.6,12.199999809265137
HSH ,1,2008-08-02T01:29:12.000000Z,1217640552.0,2008-08-02T01:29:25.100000Z,1217640565.1,13.099999904632568
HSH ,1,2008-08-02T03:38:27.800000Z,1217648307.8,2008-08-02T03:38:45.100000Z,1217648325.1,17.299999952316284
HSH ,1,2008-08-02T03:42:47.200000Z,1217648567.2,2008-08-02T03:42:59.400000Z,1217648579.4,12.200000047683716
HSH ,1,2008-08-02T04:09:07.000000Z,1217650147.0,2008-08-02T04:09:16.200000Z,1217650156.2,9.200000047683716
HSH ,1,2008-08-02T04:47:08.800000Z,1217652428.8,2008-08-02T04:47:22.500000Z,1217652442.5,13.700000047683716
HSH ,1,2008-08-02T06:13:10.300000Z,1217657590.3,2008-08-02T06:13:18.100000Z,1217657598.1,7.799999952316284
HSH ,1,2008-08-02T06:21:26.800000Z,1217658086.8,2008-08-02T06:21:37.300000Z,1217658097.3,10.5
HSH ,1,2008-08-02T08:28:00.000000Z,1217665680.0,2008-08-02T08:28:13.200000Z,1217665693.2,13.200000047683716
HSH ,1,2008-08-02T08:34:13.100000Z,1217666053.1,2008-08-02T08:34:23.900000Z,1217666063.9,10.800000190734863
HSH ,1,2008-08-02T10:35:24.900000Z,1217673324.9,2008-08-02T10:35:34.400000Z,1217673334.4,9.5
HSH ,1,2008-08-02T10:47:36.800000Z,1217674056.8,2008-08-02T10:47:50.400000Z,1217674070.4,13.600000143051147
HSH ,1,2008-08-02T12:55:09.000000Z,1217681709.0,2008-08-02T12:55:21.600000Z,1217681721.6,12.599999904632568
HSH ,1,2008-08-02T13:45:07.400000Z,1217684707.4,2008-08-02T13:45:14.200000Z,1217684714.2,6.799999952316284
HSH ,1,2008-08-02T13:58:09.900000Z,1217685489.9,2008-08-02T13:58:21.500000Z,1217685501.5,11.599999904632568
HSH ,1,2008-08-02T14:48:59.400000Z,1217688539.4,2008-08-02T14:49:12.300000Z,1217688552.3,12.899999856948853
HSH ,1,2008-08-02T15:14:08.300000Z,1217690048.3,2008-08-02T15:14:23.200000Z,1217690063.2,14.900000095367432
HSH ,1,2008-08-02T15:40:15.400000Z,1217691615.4,2008-08-02T15:40:29.000000Z,1217691629.0,13.599999904632568
HSH ,1,2008-08-02T15:55:40.700000Z,1217692540.7,2008-08-02T15:55:55.500000Z,1217692555.5,14.799999952316284
HSH ,1,2008-08-02T16:06:51.900000Z,1217693211.9,2008-08-02T16:07:04.600000Z,1217693224.6,12.699999809265137
HSH ,1,2008-08-02T16:16:14.700000Z,1217693774.7,2008-08-02T16:16:27.900000Z,1217693787.9,13.200000047683716
HSH ,1,2008-08-02T16:20:16.700000Z,1217694016.7,2008-08-02T16:20:27.500000Z,1217694027.5,10.799999952316284
HSH ,1,2008-08-02T16:37:09.100000Z,1217695029.1,2008-08-02T16:37:21.800000Z,1217695041.8,12.700000047683716
HSH ,1,2008-08-02T16:45:22.100000Z,1217695522.1,2008-08-02T16:45:36.000000Z,1217695536.0,13.900000095367432
HSH ,1,2008-08-02T17:30:18.000000Z,1217698218.0,2008-08-02T17:30:35.300000Z,1217698235.3,17.299999952316284
HSH ,1,2008-08-02T17:40:48.700000Z,1217698848.7,2008-08-02T17:41:05.800000Z,1217698865.8,17.09999990463257
HSH ,1,2008-08-02T18:06:58.600000Z,1217700418.6,2008-08-02T18:07:13.800000Z,1217700433.8,15.200000047683716
HSH ,1,2008-08-02T19:15:20.200000Z,1217704520.2,2008-08-02T19:15:32.200000Z,1217704532.2,12.0
HSH ,1,2008-08-02T20:04:15.300000Z,1217707455.3,2008-08-02T20:04:28.500000Z,1217707468.5,13.200000047683716
HSH ,1,2008-08-02T20:41:19.600000Z,1217709679.6,2008-08-02T20:41:30.300000Z,1217709690.3,10.700000047683716
HSH ,1,2008-08-02T20:57:34.000000Z,1217710654.0,2008-08-02T20:57:46.500000Z,1217710666.5,12.5
HSH ,1,2008-08-02T21:38:08.000000Z,1217713088.0,2008-08-02T21:38:20.500000Z,1217713100.5,12.5
HSH ,1,2008-08-02T21:48:58.600000Z,1217713738.6,2008-08-02T21:49:11.800000Z,1217713751.8,13.200000047683716
HSH ,1,2008-08-02T22:15:36.300000Z,1217715336.3,2008-08-02T22:15:50.800000Z,1217715350.8,14.5
HSH ,1,2008-08-02T23:18:58.500000Z,1217719138.5,2008-08-02T23:19:11.300000Z,1217719151.3,12.799999952316284
HSH ,1,2008-08-02T23:47:44.500000Z,1217720864.5,2008-08-02T23:47:58.500000Z,1217720878.5,14.0
HSH ,1,2008-08-03T00:28:51.600000Z,1217723331.6,2008-08-03T00:29:05.800000Z,1217723345.8,14.200000047683716
HSH ,1,2008-08-03T00:50:32.600000Z,1217724632.6,2008-08-03T00:50:42.600000Z,1217724642.6,10.0
HSH ,1,2008-08-03T02:13:51.800000Z,1217729631.8,2008-08-03T02:14:04.100000Z,1217729644.1,12.299999952316284
HSH ,1,2008-08-03T03:04:59.700000Z,1217732699.7,2008-08-03T03:05:15.100000Z,1217732715.1,15.399999856948853
HSH ,1,2008-08-03T04:31:26.900000Z,1217737886.9,2008-08-03T04:31:38.700000Z,1217737898.7,11.799999952316284
HSH ,1,2008-08-03T06:45:52.400000Z,1217745952.4,2008-08-03T06:46:09.900000Z,1217745969.9,17.5
HSH ,1,2008-08-03T08:43:27.200000Z,1217753007.2,2008-08-03T08:43:39.600000Z,1217753019.6,12.399999856948853
HSH ,1,2008-08-03T08:58:31.200000Z,1217753911.2,2008-08-03T08:58:45.200000Z,1217753925.2,14.0
HSH ,1,2008-08-03T08:59:50.100000Z,1217753990.1,2008-08-03T09:00:00.900000Z,1217754000.9,10.800000190734863
HSH ,1,2008-08-03T09:39:46.900000Z,1217756386.9,2008-08-03T09:39:53.000000Z,1217756393.0,6.099999904632568
HSH ,1,2008-08-03T10:04:53.000000Z,1217757893.0,2008-08-03T10:05:03.900000Z,1217757903.9,10.900000095367432
HSH ,1,2008-08-03T10:12:52.100000Z,1217758372.1,2008-08-03T10:13:02.900000Z,1217758382.9,10.800000190734863
HSH ,1,2008-08-03T10:52:56.900000Z,1217760776.9,2008-08-03T10:53:10.800000Z,1217760790.8,13.899999856948853
HSH ,1,2008-08-03T11:11:38.600000Z,1217761898.6,2008-08-03T11:11:50.700000Z,1217761910.7,12.100000143051147
HSH ,1,2008-08-03T16:01:40.000000Z,1217779300.0,2008-08-03T16:01:52.300000Z,1217779312.3,12.299999952316284
HSH ,1,2008-08-03T16:07:14.600000Z,1217779634.6,2008-08-03T16:07:27.500000Z,1217779647.5,12.900000095367432
HSH ,1,2008-08-03T16:27:22.300000Z,1217780842.3,2008-08-03T16:27:37.600000Z,1217780857.6,15.299999952316284
HSH ,1,2008-08-03T16:57:23.000000Z,1217782643.0,2008-08-03T16:57:35.000000Z,1217782655.0,12.0
HSH ,1,2008-08-03T17:11:10.100000Z,1217783470.1,2008-08-03T17:11:23.500000Z,1217783483.5,13.400000095367432
HSH ,1,2008-08-03T17:31:13.300000Z,1217784673.3,2008-08-03T17:31:19.900000Z,1217784679.9,6.6000001430511475
HSH ,1,2008-08-03T17:39:14.900000Z,1217785154.9,2008-08-03T17:39:26.000000Z,1217785166.0,11.099999904632568
HSH ,1,2008-08-03T18:07:45.600000Z,1217786865.6,2008-08-03T18:07:55.700000Z,1217786875.7,10.100000143051147
HSH ,1,2008-08-03T19:18:18.600000Z,1217791098.6,2008-08-03T19:18:31.300000Z,1217791111.3,12.700000047683716
HSH ,1,2008-08-03T19:25:42.500000Z,1217791542.5,2008-08-03T19:25:55.100000Z,1217791555.1,12.599999904632568
HSH ,1,2008-08-03T19:39:13.200000Z,1217792353.2,2008-08-03T19:39:26.600000Z,1217792366.6,13.399999856948853
HSH ,1,2008-08-03T20:01:45.700000Z,1217793705.7,2008-08-03T20:01:56.300000Z,1217793716.3,10.599999904632568
HSH ,1,2008-08-03T20:03:10.800000Z,1217793790.8,2008-08-03T20:03:23.000000Z,1217793803.0,12.200000047683716
HSH ,1,2008-08-03T20:40:35.300000Z,1217796035.3,2008-08-03T20:40:47.800000Z,1217796047.8,12.5
HSH ,1,2008-08-03T21:07:41.000000Z,1217797661.0,2008-08-03T21:07:51.800000Z,1217797671.8,10.799999952316284
HSH ,1,2008-08-03T21:37:03.700000Z,1217799423.7,2008-08-03T21:37:16.800000Z,1217799436.8,13.099999904632568
HSH ,1,2008-08-03T22:17:49.500000Z,1217801869.5,2008-08-03T22:18:02.400000Z,1217801882.4,12.900000095367432
HSH ,1,2008-08-03T23:05:47.700000Z,1217804747.7,2008-08-03T23:06:00.900000Z,1217804760.9,13.200000047683716
HSH ,1,2008-08-04T00:19:46.900000Z,1217809186.9,2008-08-04T00:20:04.100000Z,1217809204.1,17.199999809265137
HSH ,1,2008-08-04T06:45:06.100000Z,1217832306.1,2008-08-04T06:45:15.700000Z,1217832315.7,9.600000143051147
HSH ,1,2008-08-04T07:16:07.500000Z,1217834167.5,2008-08-04T07:16:24.400000Z,1217834184.4,16.90000009536743
HSH ,1,2008-08-04T07:32:11.600000Z,1217835131.6,2008-08-04T07:32:25.200000Z,1217835145.2,13.600000143051147
HSH ,1,2008-08-04T08:43:34.700000Z,1217839414.7,2008-08-04T08:43:47.300000Z,1217839427.3,12.599999904632568
HSH ,1,2008-08-04T09:18:33.400000Z,1217841513.4,2008-08-04T09:18:40.400000Z,1217841520.4,7.0
HSH ,1,2008-08-04T09:19:18.200000Z,1217841558.2,2008-08-04T09:19:25.200000Z,1217841565.2,7.0
HSH ,1,2008-08-04T09:23:58.500000Z,1217841838.5,2008-08-04T09:24:05.400000Z,1217841845.4,6.900000095367432
